X,Y
-1.051168079521908050e-02,-1.958036797965669207e+00
-1.134552875500050018e-02,-1.961395250248546551e+00
-1.263209467085096849e-02,-1.960238186835929763e+00
-1.419444144339909730e-02,-1.961927240188355626e+00
-1.918167417111049655e-02,-1.960123278700574678e+00
2.632740625734186768e-02,-1.963254805536381653e+00
3.962905677914047020e-02,-1.966506460694319447e+00
4.866554482436796780e-02,-1.957289195837437656e+00
4.421658354373825262e-02,-1.953418389247274733e+00
4.124433267191912611e-02,-1.948988387907788056e+00
3.837483509348998956e-02,-1.949159720629404902e+00
3.865971721759037250e-02,-1.949991815196135736e+00
4.199788327502879115e-02,-1.949090839671101305e+00
-1.070727235282525003e+00,-7.399813542626759721e-01
4.464166437525290965e-02,-1.945237412567577984e+00
-1.068278985557943095e+00,-7.377926355139943215e-01
3.812036155260176140e-02,-1.946558145397662809e+00
-1.076380051654847625e+00,-7.567042208002804360e-01
4.376751968086320388e-02,-1.948593791201844283e+00
4.649400260812511232e-02,-1.949311725750959123e+00
4.073865088469530438e-02,-1.946453558245919702e+00
3.656216194155703647e-02,-1.944975457761391358e+00
4.375086528616201065e-02,-1.947903996472944099e+00
3.967206533300673965e-02,-1.948230614163150909e+00
3.691708653745795488e-02,-1.949947989201921805e+00
3.700067220892785946e-02,-1.949108361081735907e+00
4.348125869242477903e-02,-1.944683146844953914e+00
3.913948819964399584e-02,-1.944927640750929942e+00
4.356879012976558330e-02,-1.948648854091666216e+00
4.968121291504740134e-02,-1.940516164461857596e+00
5.929525284942455121e-02,-1.931403590199407994e+00
5.377845069787587362e-02,-1.932687877020871969e+00
5.083875498866533005e-02,-1.924567452274817736e+00
5.070376088567746242e-02,-1.923372834921001528e+00
5.409389481744289463e-02,-1.921885799458069144e+00
5.444500879254951520e-02,-1.928057163854791867e+00
5.875611569412478308e-02,-1.929320898405260110e+00
6.461728500207947201e-02,-1.926620914808407470e+00
6.456401857545396306e-02,-1.925041007999972908e+00
5.849507915014096060e-02,-1.935297735902141492e+00
6.108166555673374964e-02,-1.925272916598152584e+00
6.473861925892049340e-02,-1.922441449622190435e+00
5.880620296847174910e-02,-1.922451690853903328e+00
5.485740166564095910e-02,-1.933546044629980365e+00
5.509599777754015104e-02,-1.930261264943619270e+00
5.634312140503511257e-02,-1.919611654542967116e+00
5.403326648576256552e-02,-1.918067896237465986e+00
5.379873793610029376e-02,-1.929881473662395042e+00
5.466008868399580001e-02,-1.922930046519001568e+00
5.864953535872569068e-02,-1.919414492257505600e+00
5.900765326901907804e-02,-1.919944925272093261e+00
-1.043415264323312552e+00,-7.105855389232116348e-01
6.053041767269395912e-02,-1.914980432281075284e+00
-1.049341370270004070e+00,-7.065087627200713483e-01
6.677212461510739772e-02,-1.917256576749875041e+00
-1.044550719270974426e+00,-7.073713879097049961e-01
6.654932504557520279e-02,-1.926035349349141335e+00
-1.035406487145741572e+00,-7.088625802691217448e-01
7.087178547153666353e-02,-1.919769462170808572e+00
-1.038441149431798660e+00,-7.023676741297482096e-01
7.206045123763510363e-02,-1.928052603716231994e+00
-1.032701475653188039e+00,-7.063059450476135703e-01
8.251984260600947474e-02,-1.913647311895816383e+00
-1.033080740898943528e+00,-7.075472504921206385e-01
-1.027807376186069988e+00,-7.090493035021820933e-01
-1.027654450720746793e+00,-7.036696179669436058e-01
-1.023389603407623083e+00,-7.041233526059605952e-01
-1.025269037289651131e+00,-7.076145277012908519e-01
-1.024806250836333366e+00,-7.089882460005276776e-01
-1.019725753266675472e+00,-7.125574494531761172e-01
-1.020260998455565948e+00,-7.115964773099074936e-01
-1.019571157272913364e+00,-7.114212667338060125e-01
-1.026301461891084843e+00,-7.084295096569651617e-01
